LIGHTS OUT TE BLUE,Turbine Core,R2S Pearl Reactive
MEGA CELL,Nucleus Core,MicroSnap Pearl Reactive
HY-ROAD SOLID,Inverted Fe2 Technology,R2S Solid Reactive
OPTIMUS,Tri-Sphere Core,R2X Pearl Reactive
UNIVERSAL GRAVITY,Shape-Lock HD Core,NRG Pearl Reactive
ICE STORM PINK,Traditional 3 piece,Polyester Pearl
ICE STORM NAVY,Traditional 3 piece,Polyester Pearl
STORM NATION,Traditional 3 piece,Ultra Clear Solid Polyester
PITCH BLACK,Capacitor Core,Controll Urethane
SINISTER,Cage Core,76H Hybrid Reactive
SYNC TOUR,G2 Core,NRG Solid Reactive
DOMINATION DRIVE,RAD+ Core,R3S Hybrid Reactive
LOCO PEARL GREEN,LateRoll 48 Core,Striking Pearl Reactive
NEO CLASSIS P2 NAVY PURPLE,3 Piece Core,Polyester Pearl
NEO CLASSIS P2 RED SILVER,3 Piece Core,Polyester Pearl
NEO CLASSIS P2 BLUE GREEN,3 Piece Core,Polyester Pearl
NEO CLASSIS P2 BLACK GOLD,3 Piece Core,Polyester Pearl
SWEEP HARD SILVER,3 Piece Core,Hard Polyester
SWEEP HARD BLACK,3 Piece Core,Hard Polyester
